FIRE_ID,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_TIME,STAT_CAUSE_DESCR,CONT_DATE,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,COUNTY,FIPS_CODE,OWNER_DESCR,Fire_Size_Class
CA10034,BASIN COMPLEX,6/21/2008,15:30:00,Lightning,7/18/2008,18:00:00,162818.0,G,36.2408,-121.7594,CA,MONTEREY,6053.0,USFS,G
CA10051,BTU LIGHTNING COMPLEX,6/21/2008,17:00:00,Lightning,7/1/2008,18:00:00,53699.0,G,39.7365,-121.6044,CA,BUTTE,6007.0,Private,G
CA10085,Indians,6/8/2008,13:51:00,Equipment Use,6/29/2008,18:00:00,81378.0,G,38.5499,-122.5,CA,NAPA,6055.0,Mixed Ownership,G
CA10089,IRON ALPS COMPLEX,6/21/2008,14:00:00,Lightning,9/11/2008,17:00:00,105855.0,G,40.8862,-123.0485,CA,TRINITY,6105.0,USFS,G
CA10100,MONTH COMPLEX,6/21/2008,8:00:00,Lightning,7/27/2008,18:00:00,32174.0,G,36.2015,-121.6594,CA,MONTEREY,6053.0,USFS,G
CA11135,STATION,8/26/2009,15:14:00,Arson,10/16/2009,19:00:00,160577.0,G,34.17,-118.2,CA,LOS ANGELES,6037.0,USFS,G
CA11240,CEDAR,10/25/2003,17:37:00,Human,11/4/2003,16:00:00,280278.0,G,32.9612,-116.82,CA,SAN DIEGO,6073.0,Mixed Ownership,G
CA11278,ZACA,7/4/2007,13:08:00,Equipment Use,9/2/2007,18:00:00,240207.0,G,34.601,-119.9774,CA,SANTA BARBARA,6083.0,USFS,G
CA11308,RIM,8/17/2013,15:25:00,Human,10/25/2013,17:00:00,257314.0,G,37.8571,-119.9673,CA,TUOLUMNE,6109.0,USFS,G
CA12271,RUSH,8/12/2012,14:02:00,Human,8/30/2012,18:00:00,315577.0,G,39.5524,-120.8785,CA,LASSEN,6035.0,USFS,G
CA12358,VALLEY,9/12/2015,13:52:00,Powerline,10/15/2015,12:00:00,76067.0,G,38.7847,-122.6395,CA,LAKE,6033.0,Mixed Ownership,G
CA12365,THOMAS,12/4/2017,18:28:00,Powerline,1/12/2018,17:00:00,281893.0,G,34.4285,-119.1502,CA,VENTURA,6111.0,Mixed Ownership,G
CA12398,CARR,7/23/2018,13:15:00,Equipment Use,8/30/2018,19:00:00,229651.0,G,40.6532,-122.6221,CA,SHASTA,6089.0,Mixed Ownership,G
CA12429,CAMP,11/8/2018,6:33:00,Powerline,11/25/2018,17:00:00,153336.0,G,39.8097,-121.4326,CA,BUTTE,6007.0,Mixed Ownership,G
CA12487,AUGUST COMPLEX,8/16/2020,15:32:00,Lightning,11/12/2020,9:00:00,1032648.0,G,39.82,-122.6784,CA,MENDOCINO,6045.0,USFS,G
CA10142,LAKE FIRE,6/17/2015,15:51:00,Lightning,7/1/2015,19:00:00,31359.0,G,34.2599,-116.8922,CA,SAN BERNARDINO,6071.0,USFS,G
CA10243,CRANSTON,7/25/2018,11:50:00,Equipment Use,8/8/2018,19:00:00,13139.0,G,33.7336,-116.8128,CA,RIVERSIDE,6065.0,USFS,G
CA10299,FERGUSON,7/13/2018,20:40:00,Vehicle,8/18/2018,19:00:00,96901.0,G,37.6561,-119.8961,CA,MARIPOSA,6043.0,USFS,G
CA10367,BLUE CUT,8/16/2016,10:36:00,Equipment Use,8/23/2016,19:00:00,36274.0,G,34.3069,-117.4934,CA,SAN BERNARDINO,6071.0,USFS,G
CA10432,SAND,7/22/2016,14:18:00,Vehicle,8/7/2016,19:00:00,41432.0,G,34.4466,-117.7711,CA,LOS ANGELES,6037.0,USFS,G
CA10487,ROCKY,7/29/2015,15:01:00,Lightning,8/14/2015,19:00:00,68900.0,G,39.0613,-122.9343,CA,LAKE,6033.0,Mixed Ownership,G
